Time	Open	High	Low	Close	Volume
2017-05-22 00:00:00	2104.6	2154.2	2101.3	2142.1	81
2017-05-23 00:00:00	2142.4	2293.9	2100.4	2280.1	2477
2017-05-24 00:00:00	2279.7	2459	2263.7	2443.3	2108
2017-05-25 00:00:00	2444.9	2799	2205.8	2473	3325
2017-05-26 00:00:00	2473	2661.5	2241.4	2241.6	2682
2017-05-28 00:00:00	2117.1	2248.3	2089.7	2189.7	476
2017-05-29 00:00:00	2226.6	2352.6	2094.4	2235.5	5664
2017-05-30 00:00:00	2236	2330.5	2129.4	2232.2	4804
2017-05-31 00:00:00	2232.2	2335.7	2147.5	2319.2	4830
2017-06-01 00:00:00	2319.3	2475.2	2311.3	2403.9	2611
2017-06-02 00:00:00	2403.9	2449	2379.4	2429.9	2726
2017-06-04 00:00:00	2505.1	2547.4	2500.8	2546.8	287
2017-06-05 00:00:00	2545.4	2745.5	2544.8	2745.1	1626
2017-06-06 00:00:00	2744.5	2938.5	2670.8	2827.4	2633
2017-06-07 00:00:00	2827.8	2878.6	2609.3	2674.6	3275
2017-06-08 00:00:00	2674.7	2813.4	2662.1	2806.8	2552
2017-06-09 00:00:00	2806.6	2860.4	2786.6	2834.5	2037
2017-06-11 00:00:00	2922.7	2998.9	2855	2962.7	291
2017-06-12 00:00:00	2962.9	3000	2426.7	2661.7	1386
2017-06-13 00:00:00	2663	2784.5	2632	2729.5	2616
2017-06-14 00:00:00	2731.4	2811.1	2326.2	2452.7	1181
2017-06-15 00:00:00	2341.3	2470.1	2075.1	2356.5	2855
2017-06-16 00:00:00	2356.6	2520.7	2302.5	2487.9	2178
2017-06-18 00:00:00	2470	2543.7	2458.2	2523.3	536
2017-06-19 00:00:00	2522.7	2624.7	2483.6	2608	2472
2017-06-20 00:00:00	2607.9	2772.1	2583.7	2719.1	2598
2017-06-21 00:00:00	2719.2	2780	2569.3	2658.9	1672
2017-06-22 00:00:00	2651.9	2728.6	2597.7	2707.9	2625
2017-06-23 00:00:00	2706.2	2734.1	2664.1	2707	1894
2017-06-25 00:00:00	2472.5	2519.2	2407.6	2514.4	343
2017-06-26 00:00:00	2514.3	2556	2252.6	2402.8	2797
2017-06-27 00:00:00	2402.8	2572.2	2264.4	2508.3	2637
2017-06-28 00:00:00	2508.3	2602.3	2455.4	2549	2221
2017-06-29 00:00:00	2549	2591.8	2502.4	2548.4	2408
2017-06-30 00:00:00	2548.4	2552.2	2478.2	2501.2	1452
2017-07-02 00:00:00	2496.6	2534.4	2486.3	2494.7	313
2017-07-03 00:00:00	2494.8	2584.6	2471.4	2565.5	1931
2017-07-04 00:00:00	2565.7	2637.4	2551.9	2573.2	1930
2017-07-05 00:00:00	2573.2	2629.2	2537.5	2614.4	1669
2017-07-06 00:00:00	2614.7	2616.9	2578.4	2607.3	2019
2017-07-07 00:00:00	2607.3	2607.6	2486.7	2514.9	1336
2017-07-09 00:00:00	2527.1	2539.2	2487.5	2491.3	287
2017-07-10 00:00:00	2491	2523	2256.4	2355.7	2016
2017-07-11 00:00:00	2355.8	2408.4	2254.1	2283	2070
2017-07-12 00:00:00	2281.9	2413	2241.8	2383	2553
2017-07-13 00:00:00	2382.9	2417.5	2307.1	2335.8	2187
2017-07-14 00:00:00	2335.8	2352.1	2150.3	2157.9	1916
2017-07-16 00:00:00	1865.2	1938.4	1854.8	1936.1	388
2017-07-17 00:00:00	1937.6	2231	1925.2	2192.2	2192
2017-07-18 00:00:00	2191.8	2393.8	2144	2307.4	2685
2017-07-19 00:00:00	2348.4	2394.4	2216	2273.8	2668
2017-07-20 00:00:00	2273.7	2773	2273.5	2740	1890
2017-07-21 00:00:00	2634.6	2650.4	2612.8	2625	116
2017-07-23 00:00:00	2784.8	2792	2720.4	2765.2	383
2017-07-24 00:00:00	2765.2	2801.9	2719.7	2765.4	1906
2017-07-25 00:00:00	2766.1	2772.5	2449.8	2587.2	2326
2017-07-26 00:00:00	2587.2	2589.1	2402.6	2532.1	2062
2017-07-27 00:00:00	2531.8	2734.5	2515	2713	2016
2017-07-28 00:00:00	2713	2833	2655.4	2754.3	2179
2017-07-30 00:00:00	2759.5	2765	2696.3	2705.1	75
2017-07-31 00:00:00	2705.1	2906.3	2678.2	2836.1	3537
2017-08-01 00:00:00	2836	2923.9	2637.9	2701	3108
2017-08-02 00:00:00	2701	2757	2648.9	2713.1	2602
2017-08-03 00:00:00	2713	2803.6	2701.8	2794.3	2128
2017-08-04 00:00:00	2794	2877.1	2761.3	2832	1765
2017-08-06 00:00:00	3264.6	3273.5	3210.8	3210.9	330
2017-08-07 00:00:00	3211	3422.6	3190.9	3370.5	2346
2017-08-08 00:00:00	3370.5	3486.6	3346	3381	2554
2017-08-09 00:00:00	3380.9	3413.4	3236.7	3334.9	2934
2017-08-10 00:00:00	3334.9	3460.2	3315.1	3434.1	2061
2017-08-11 00:00:00	3481.5	3588.3	3457.9	3587.9	1428
2017-08-13 00:00:00	4010.1	4124.4	4002.2	4080	491
2017-08-14 00:00:00	4080	4362.3	3978	4354.9	2467
2017-08-15 00:00:00	4354.9	4449.9	3807.5	4137.2	2807
2017-08-16 00:00:00	4285	4397.1	4248.9	4361	586
2017-08-17 00:00:00	4360.4	4476.3	4179.3	4260.9	1659
2017-08-18 00:00:00	4260.9	4302.3	4189.6	4300.4	475
2017-08-20 00:00:00	4117.8	4149	4042.3	4084	429
2017-08-21 00:00:00	4084	4102.4	3964.1	3996.6	1613
2017-08-22 00:00:00	3774.8	4141.3	3770.6	4071.1	2265
2017-08-23 00:00:00	4071.1	4259.9	4057.6	4140.9	2194
2017-08-24 00:00:00	4140.9	4381.2	4111.8	4368.1	2075
2017-08-25 00:00:00	4383.2	4453	4284.4	4329	1659
2017-08-27 00:00:00	4359.6	4363.1	4300.8	4302.4	382
2017-08-28 00:00:00	4302.4	4396	4185.7	4370.7	1990
2017-08-29 00:00:00	4370.7	4641.7	4345.8	4599.6	2059
2017-08-30 00:00:00	4599.6	4636.9	4495.3	4599.2	1712
2017-08-31 00:00:00	4599.1	4766.5	4587.4	4737.1	1465
2017-09-03 00:00:00	4626	4628.2	4551.4	4588	54
2017-09-04 00:00:00	4588	4601.4	4157.9	4265	2477
2017-09-05 00:00:00	4265.1	4524.3	4029.4	4483.7	2698
2017-09-06 00:00:00	4482.6	4681.3	4419.2	4560	2888
2017-09-07 00:00:00	4560	4690	4479.2	4609.6	3059
2017-09-08 00:00:00	4609.6	4692.4	4139.4	4247.4	2288
2017-09-10 00:00:00	4289	4324.9	4215.6	4233.6	386
2017-09-11 00:00:00	4233.6	4378.5	4110.1	4239.6	3639
2017-09-12 00:00:00	4239.6	4384.9	4078.7	4140.9	2445
2017-09-13 00:00:00	4140.9	4150.7	3732	3914.6	2610
2017-09-14 00:00:00	3914.6	3922	3212.6	3249.2	3038
2017-09-15 00:00:00	3328.6	3837.3	2972.6	3720	2991
