Time	Open	High	Low	Close	Volume
2017-05-22 20:00:00	2104.6	2154.2	2101.3	2142.1	81
2017-05-23 00:00:00	2142.4	2202.8	2100.4	2192.9	311
2017-05-23 04:00:00	2191.4	2209.1	2122.4	2170.2	299
2017-05-23 08:00:00	2170.1	2238.8	2113.1	2227.8	489
2017-05-23 12:00:00	2227.7	2266.5	2174.5	2185.1	638
2017-05-23 16:00:00	2185.6	2269.6	2173.2	2215.4	439
2017-05-23 20:00:00	2233	2293.9	2190.4	2280.1	301
2017-05-24 00:00:00	2279.7	2317.8	2265.6	2309.5	416
2017-05-24 04:00:00	2310	2345.5	2263.7	2332.9	469
2017-05-24 08:00:00	2332.6	2385.7	2285.9	2385.5	578
2017-05-24 12:00:00	2385.9	2428.8	2311.7	2422.7	456
2017-05-24 16:00:00	2422.8	2435	2382	2429.8	103
2017-05-24 20:00:00	2420.5	2459	2393.4	2443.3	86
2017-05-25 00:00:00	2444.9	2596.3	2441	2537.1	314
2017-05-25 04:00:00	2537.4	2680.2	2472.8	2663.7	541
2017-05-25 08:00:00	2663.3	2787.7	2625	2724.8	529
2017-05-25 12:00:00	2722.6	2799	2393.7	2508.5	732
2017-05-25 16:00:00	2509.3	2555.4	2205.8	2462.5	564
2017-05-25 20:00:00	2471.9	2595	2264.6	2473	645
2017-05-26 00:00:00	2473	2523.5	2340.9	2467.1	644
2017-05-26 04:00:00	2472	2656.2	2420	2635.2	656
2017-05-26 08:00:00	2635.6	2661.5	2426.1	2497.3	597
2017-05-26 12:00:00	2496.9	2513	2324	2389.4	563
2017-05-26 16:00:00	2371.8	2390.2	2241.4	2241.6	222
2017-05-28 20:00:00	2117.1	2248.3	2089.7	2189.7	476
2017-05-29 00:00:00	2226.6	2244.6	2094.4	2147.1	764
2017-05-29 04:00:00	2147.1	2254.9	2104.4	2205.2	827
2017-05-29 08:00:00	2205.4	2277.7	2201.2	2228.7	864
2017-05-29 12:00:00	2229.4	2289.1	2201.6	2267.3	1082
2017-05-29 16:00:00	2267.3	2340.5	2218.7	2306.3	928
2017-05-29 20:00:00	2307.5	2352.6	2200.2	2235.5	1199
2017-05-30 00:00:00	2236	2330.5	2231.7	2310.9	922
2017-05-30 04:00:00	2310.8	2319.3	2254.9	2271	924
2017-05-30 08:00:00	2271.1	2322.7	2237.6	2289.8	958
2017-05-30 12:00:00	2289.8	2297	2219	2258.1	687
2017-05-30 16:00:00	2258.2	2275.3	2232.9	2248.4	508
2017-05-30 20:00:00	2258.8	2258.8	2129.4	2232.2	805
2017-05-31 00:00:00	2232.2	2244.1	2147.5	2204.5	920
2017-05-31 04:00:00	2204.5	2254.1	2168.8	2211.2	972
2017-05-31 08:00:00	2211.3	2253.2	2192.9	2209	982
2017-05-31 12:00:00	2209.3	2316.8	2202.3	2297.3	572
2017-05-31 16:00:00	2297.2	2335.7	2273.8	2285.3	751
2017-05-31 20:00:00	2285.2	2321.2	2276.6	2319.2	633
2017-06-01 00:00:00	2319.3	2402.3	2311.3	2397.1	738
2017-06-01 04:00:00	2394.7	2449.8	2359	2434.4	290
2017-06-01 08:00:00	2434.4	2475.2	2403.5	2450.6	469
2017-06-01 12:00:00	2450	2469	2378.1	2399.2	296
2017-06-01 16:00:00	2355.9	2417.6	2319.7	2409.4	343
2017-06-01 20:00:00	2411.1	2419.1	2367.7	2403.9	475
2017-06-02 00:00:00	2403.9	2445.7	2380.1	2429.9	575
2017-06-02 04:00:00	2431	2449	2410.3	2423.8	529
2017-06-02 08:00:00	2423.8	2441.6	2405	2425.1	694
2017-06-02 12:00:00	2424.8	2436.9	2379.4	2425.2	416
2017-06-02 16:00:00	2425.9	2436.3	2391.6	2429.9	512
2017-06-04 20:00:00	2505.1	2547.4	2500.8	2546.8	287
2017-06-05 00:00:00	2545.4	2591.4	2544.8	2580.2	459
2017-06-05 04:00:00	2579.5	2584.4	2558.7	2565.2	147
2017-06-05 08:00:00	2589.2	2594.4	2569	2584.6	196
2017-06-05 12:00:00	2585	2620.1	2577.1	2597.8	620
