Time	Open	High	Low	Close	Volume
2006-12-31 00:00:00	635.679	636.194	635.306	635.624	20
2007-01-01 00:00:00	635.784	637.103	635.006	636.533	641
2007-01-02 00:00:00	636.093	640.802	635.595	640.01	1272
2007-01-03 00:00:00	639.379	644.663	624.634	627.512	1312
2007-01-04 00:00:00	627.18	630.352	619.6	622.485	1367
2007-01-05 00:00:00	622.221	625.768	601.591	606.841	1225
2007-01-07 00:00:00	606.711	608.966	606.274	608.257	127
2007-01-08 00:00:00	607.818	612.101	602.943	612.001	1351
2007-01-09 00:00:00	611.562	615.662	605.281	611.132	1344
2007-01-10 00:00:00	610.783	613.01	605.153	609.878	1396
2007-01-11 00:00:00	609.387	615.785	607.982	610.238	1440
2007-01-12 00:00:00	609.616	627.323	608.678	626.233	1260
2007-01-14 00:00:00	625.72	627.53	624.551	625.36	180
2007-01-15 00:00:00	625.133	627.767	623.679	625.898	1440
2007-01-16 00:00:00	625.352	627.95	621.981	623.527	1408
2007-01-17 00:00:00	623.258	633.707	619.363	632.128	1393
2007-01-18 00:00:00	631.604	636.48	625.672	627.742	1344
2007-01-19 00:00:00	627.289	636.083	626.352	634.771	1200
2007-01-21 00:00:00	634.571	635.648	633.366	634.702	108
2007-01-22 00:00:00	634.668	639.34	631.065	633.362	1338
2007-01-23 00:00:00	633.156	647.615	632.476	645.024	1376
2007-01-24 00:00:00	644.922	648.77	638.015	647.564	1375
2007-01-25 00:00:00	647.472	654.442	643.205	644.189	1361
2007-01-26 00:00:00	643.467	647.833	639.942	645.38	1202
2007-01-28 00:00:00	645.262	647.708	644.8	646.581	136
2007-01-29 00:00:00	646.245	647.51	640.028	642.218	1312
2007-01-30 00:00:00	641.869	647.38	639.983	645.766	1335
2007-01-31 00:00:00	645.963	654.648	641.285	653.593	1333
2007-02-01 00:00:00	653.584	661.108	650.819	655.056	1356
2007-02-02 00:00:00	655.056	659.558	642.19	647.066	1194
2007-02-04 00:00:00	646.846	649.457	646.451	648.833	123
2007-02-05 00:00:00	648.376	651.687	645.171	647.948	1337
2007-02-06 00:00:00	647.539	658.229	646.928	653.681	1280
2007-02-07 00:00:00	653.935	656.508	650.032	651.866	1191
2007-02-08 00:00:00	651.725	661.24	646.879	658.497	1278
2007-02-09 00:00:00	658.257	668.044	656.227	666.063	1047
2007-02-11 00:00:00	666.027	668.107	664.574	664.975	114
2007-02-12 00:00:00	665.106	666.713	659.061	661.107	1331
2007-02-13 00:00:00	660.863	668.87	659.948	665.306	1355
2007-02-14 00:00:00	664.814	671.708	664.37	667.999	1332
2007-02-15 00:00:00	668.087	670.4	661.906	668.02	1325
2007-02-16 00:00:00	667.517	669.348	662.058	668.094	1135
2007-02-18 00:00:00	668.315	668.88	666.718	668.798	110
2007-02-19 00:00:00	668.352	673.102	668.121	670.32	1165
2007-02-20 00:00:00	670.081	671.784	655.147	660.086	1327
